colony,tag_ID,group,obs_interaction_nurses,obs_interaction_cleaners,obs_interaction_foragers,obs_interaction_queen,exp_random_nurses,exp_random_cleaners,exp_random_foragers,exp_space_nurses,exp_space_cleaners,exp_space_foragers
29,5,F,0.129068,0.380071,0.49086,0.00200222,0.473225,0.388221,0.138554,0.150999,0.391674,0.457327
29,14,F,0.163064,0.402306,0.43463,0.00593533,0.473225,0.388221,0.138554,0.153644,0.39756,0.448795
29,25,F,0.254514,0.416452,0.329034,0.00640752,0.473225,0.388221,0.138554,0.254331,0.396654,0.349014
29,27,F,0.233074,0.415785,0.351141,0.0027972,0.473225,0.388221,0.138554,0.183861,0.383151,0.432987
29,32,F,0.207759,0.412972,0.379269,0.00283794,0.473225,0.388221,0.138554,0.211072,0.398663,0.390264
29,65,F,0.146276,0.440024,0.4137,0.00208955,0.473225,0.388221,0.138554,0.178741,0.420182,0.401077
29,96,F,0.190709,0.39583,0.41346,0.00306877,0.473225,0.388221,0.138554,0.19035,0.392695,0.416955
29,126,F,0.134385,0.410188,0.455427,0.00604572,0.473225,0.388221,0.138554,0.15517,0.404633,0.440196
29,176,F,0.251695,0.458007,0.290297,0.00725013,0.473225,0.388221,0.138554,0.272,0.444586,0.283413
29,186,F,0.090587,0.369433,0.53998,0.00176812,0.473225,0.388221,0.138554,0.105365,0.395433,0.499201
29,192,F,0.20697,0.427539,0.365491,0.00759173,0.473225,0.388221,0.138554,0.234543,0.452603,0.312853
29,202,F,0.0649303,0.367205,0.567865,0.00256129,0.473225,0.388221,0.138554,0.0822237,0.387204,0.530571
29,220,F,0.183497,0.416736,0.399767,0.00644628,0.473225,0.388221,0.138554,0.205731,0.39267,0.401599
29,227,F,0.171244,0.371836,0.45692,0.00482315,0.473225,0.388221,0.138554,0.214562,0.379704,0.405733
29,255,F,0.157,0.4485,0.3945,0.00744417,0.473225,0.388221,0.138554,0.174711,0.420462,0.404826
29,256,F,0.115364,0.396779,0.487856,0.00158144,0.473225,0.388221,0.138554,0.148697,0.396582,0.454719
29,261,F,0.0911047,0.401004,0.507891,0.00570613,0.473225,0.388221,0.138554,0.100892,0.418304,0.480803
29,320,F,0.181301,0.433496,0.385203,0.0141071,0.473225,0.388221,0.138554,0.187867,0.39905,0.413082
29,332,F,0.205454,0.438803,0.355744,0.00187705,0.473225,0.388221,0.138554,0.199319,0.417653,0.383028
29,353,F,0.168904,0.420861,0.410235,0.00362218,0.473225,0.388221,0.138554,0.203098,0.428528,0.368373
29,387,F,0.136608,0.395841,0.467551,0.00605845,0.473225,0.388221,0.138554,0.144089,0.416244,0.439667
29,482,F,0.20069,0.410772,0.388537,0.00324799,0.473225,0.388221,0.138554,0.216286,0.378061,0.405652
29,518,F,0.118849,0.382538,0.498612,0.00377074,0.473225,0.388221,0.138554,0.141585,0.396341,0.462074
29,610,F,0.207542,0.373418,0.41904,0.00289245,0.473225,0.388221,0.138554,0.189521,0.384113,0.426366
58,1,F,0.101614,0.258943,0.639443,0,0.504999,0.339694,0.155307,0.144438,0.322577,0.532981
58,6,F,0.138636,0.295,0.566363,0.000187564,0.504999,0.339694,0.155307,0.228217,0.377933,0.393849
58,24,F,0.147697,0.188113,0.66419,0,0.504999,0.339694,0.155307,0.250885,0.204464,0.544648
58,28,F,0.142258,0.262308,0.595434,0,0.504999,0.339694,0.155307,0.222194,0.307741,0.470063
58,44,F,0.287595,0.308887,0.403518,0.000616776,0.504999,0.339694,0.155307,0.348391,0.337523,0.314086
58,55,F,0.107007,0.202412,0.690582,0,0.504999,0.339694,0.155307,0.194435,0.263122,0.542442
58,73,F,0.166834,0.255344,0.577822,0.000166973,0.504999,0.339694,0.155307,0.211655,0.333988,0.454356
58,80,F,0.101102,0.208753,0.690145,0.00111678,0.504999,0.339694,0.155307,0.143945,0.286755,0.569298
58,82,F,0.138916,0.290815,0.570269,0.000216333,0.504999,0.339694,0.155307,0.18234,0.401976,0.415683
58,96,F,0.170406,0.309291,0.520303,0.00307159,0.504999,0.339694,0.155307,0.212787,0.387587,0.399626
58,112,F,0.0850961,0.202587,0.712317,0,0.504999,0.339694,0.155307,0.162831,0.287728,0.549439
58,139,F,0.193537,0.388821,0.417642,8.73E-05,0.504999,0.339694,0.155307,0.228072,0.43847,0.333457
58,147,F,0.14746,0.278559,0.573981,0.000645393,0.504999,0.339694,0.155307,0.20065,0.330001,0.469347
58,156,F,0.128785,0.256178,0.615037,0.00173732,0.504999,0.339694,0.155307,0.132189,0.248538,0.619269
58,173,F,0.244032,0.290029,0.465938,0.000275356,0.504999,0.339694,0.155307,0.333984,0.328051,0.337964
58,178,F,0.134044,0.209892,0.656064,0.00244073,0.504999,0.339694,0.155307,0.119494,0.278197,0.602306
58,186,F,0.152853,0.237934,0.609213,9.16E-05,0.504999,0.339694,0.155307,0.231304,0.299969,0.468726
58,198,F,0.148011,0.315595,0.536394,0.00135111,0.504999,0.339694,0.155307,0.178152,0.432855,0.388992
58,202,F,0.130223,0.197642,0.672135,0.000768443,0.504999,0.339694,0.155307,0.208866,0.293814,0.497319
58,217,F,0.100907,0.281223,0.617871,0,0.504999,0.339694,0.155307,0.188013,0.367949,0.444037
58,219,F,0.142078,0.309029,0.548893,0,0.504999,0.339694,0.155307,0.201472,0.419012,0.379515
58,256,F,0.183471,0.366093,0.450436,0.000605547,0.504999,0.339694,0.155307,0.221957,0.445109,0.332933
58,299,F,0.136271,0.253029,0.6107,0.000471846,0.504999,0.339694,0.155307,0.216789,0.376481,0.406729
58,301,F,0.19213,0.270833,0.537037,0.000308547,0.504999,0.339694,0.155307,0.218049,0.34539,0.43656
58,342,F,0.245427,0.348409,0.406163,0,0.504999,0.339694,0.155307,0.274525,0.451268,0.274207
58,347,F,0.113331,0.251352,0.635317,0.000138696,0.504999,0.339694,0.155307,0.152149,0.312225,0.535624
58,390,F,0.095988,0.35404,0.549972,7.91E-05,0.504999,0.339694,0.155307,0.123851,0.465838,0.41031
58,394,F,0.134726,0.256025,0.609249,0.000917221,0.504999,0.339694,0.155307,0.188233,0.329577,0.482188
58,433,F,0.102894,0.202572,0.694534,0.000988386,0.504999,0.339694,0.155307,0.156857,0.295732,0.547407
58,475,F,0.135502,0.288869,0.57563,0.0010982,0.504999,0.339694,0.155307,0.182825,0.387717,0.429457
58,501,F,0.205239,0.278515,0.516247,0.000331455,0.504999,0.339694,0.155307,0.255625,0.335792,0.408579
58,556,F,0.140774,0.342232,0.516993,0,0.504999,0.339694,0.155307,0.180531,0.405958,0.41351
58,592,F,0.194404,0.373849,0.431746,0.00150808,0.504999,0.339694,0.155307,0.22694,0.458864,0.314194
58,593,F,0.104,0.272,0.624,0,0.504999,0.339694,0.155307,0.117425,0.317649,0.564901
58,600,F,0.204953,0.236469,0.558578,0.000749836,0.504999,0.339694,0.155307,0.308977,0.267253,0.423769
58,604,F,0.320962,0.25188,0.427158,9.90E-05,0.504999,0.339694,0.155307,0.409893,0.258911,0.331196
58,614,F,0.163723,0.22964,0.606637,0,0.504999,0.339694,0.155307,0.242193,0.331465,0.426342
58,650,F,0.29627,0.322443,0.381287,0.00864871,0.504999,0.339694,0.155307,0.315695,0.38137,0.302935
58,838,F,0.181782,0.291415,0.526804,0.000201491,0.504999,0.339694,0.155307,0.285525,0.374867,0.339607
78,1,F,0.074813,0.218204,0.706983,0,0.611742,0.254003,0.134255,0.0952845,0.2948,0.6099
78,6,F,0.166992,0.276008,0.557,0.000108354,0.611742,0.254003,0.134255,0.166446,0.355159,0.478395
78,7,F,0.128188,0.265024,0.606788,0,0.611742,0.254003,0.134255,0.148874,0.320099,0.531025
78,17,F,0.116785,0.255625,0.62759,0.000295946,0.611742,0.254003,0.134255,0.147618,0.31791,0.53447
78,23,F,0.198837,0.239449,0.561715,0.000749766,0.611742,0.254003,0.134255,0.267663,0.304155,0.428181
78,30,F,0.127788,0.252241,0.619971,0,0.611742,0.254003,0.134255,0.198161,0.309272,0.492565
78,35,F,0.117211,0.251978,0.630811,0,0.611742,0.254003,0.134255,0.15358,0.306139,0.540279
78,38,F,0.205349,0.313992,0.480659,0.00166865,0.611742,0.254003,0.134255,0.214998,0.359282,0.42572
78,42,F,0.129809,0.247662,0.622529,0,0.611742,0.254003,0.134255,0.111288,0.307672,0.581039
78,43,F,0.103051,0.226525,0.670424,0,0.611742,0.254003,0.134255,0.153971,0.301308,0.54472
78,48,F,0.238867,0.273789,0.487344,0.00344266,0.611742,0.254003,0.134255,0.253485,0.332274,0.41424
78,49,F,0.210185,0.241737,0.548078,0.00102694,0.611742,0.254003,0.134255,0.239403,0.327532,0.433064
78,55,F,0.169312,0.229387,0.601301,0.00099108,0.611742,0.254003,0.134255,0.207026,0.31172,0.481253
78,60,F,0.156262,0.279989,0.56375,0,0.611742,0.254003,0.134255,0.196334,0.333305,0.47036
78,118,F,0.151441,0.247207,0.601352,0,0.611742,0.254003,0.134255,0.182879,0.314921,0.502199
78,135,F,0.229703,0.345545,0.424752,0.00197628,0.611742,0.254003,0.134255,0.214619,0.357239,0.428141
78,147,F,0.139447,0.231732,0.628821,0,0.611742,0.254003,0.134255,0.175384,0.303686,0.520927
78,149,F,0.196064,0.241769,0.562167,0.000183891,0.611742,0.254003,0.134255,0.240482,0.312189,0.447327
78,169,F,0.111549,0.189759,0.698692,0.000421822,0.611742,0.254003,0.134255,0.20225,0.293451,0.504297
78,172,F,0.239152,0.299454,0.461394,0.00347718,0.611742,0.254003,0.134255,0.21225,0.346637,0.441112
78,175,F,0.174301,0.343504,0.482195,0.00112326,0.611742,0.254003,0.134255,0.199884,0.356655,0.44346
78,186,F,0.146169,0.276948,0.576883,0.000130959,0.611742,0.254003,0.134255,0.152608,0.337386,0.510005
