colony,tag_id,body_size,age(days),nb_foraging_events,group_period1,group_period2,group_period3,group_period4,visits_to_brood,visits_to_nest_entrance,visits_to_rubbishpile,nb_interaction_nurses,nb_interaction_cleaners,nb_interaction_foragers,nb_interaction_queen
21,398,146.328,40,0,N,N,N,N,170.455,0.272727,2.63636,504.81818,100.45455,29.636364,10
21,492,167.431,5,0,N,N,NA,NA,470.909,0.363636,1.36364,584.63636,177.72727,63.545455,11.73
21,501,170.135,14,0,N,N,N,NA,284.364,2,2.81818,487.45455,142.45455,58,14.09
21,540,175.96,40,0,N,N,N,N,399.545,0.454545,0.0909091,555.45455,139.72727,67.363636,13.45
21,556,133.6,40,0,N,N,F,F,430.273,1.63636,2.90909,507.45455,118,45.454545,15.45
21,564,170.699,57,0,N,N,N,N,610.273,0.454545,1.18182,482.72727,77.545455,33.272727,7.273
21,576,126.384,14,0,N,N,N,N,953,5.63636,4.90909,595.81818,94.636364,38.909091,10.45
21,580,142.004,14,0,N,N,N,N,1175.09,0.0909091,0.909091,484.18182,51.090909,21.181818,7.545
21,599,166.508,5,0,N,N,N,NA,321.909,3.27273,1.45455,610.18182,118.18182,51.636364,7.909
21,607,178.34,71,0,N,N,N,N,293.091,0,0.0909091,442.81818,98.636364,33.090909,17
21,610,151.327,40,0,N,N,N,N,406.364,2.72727,1.45455,596.36364,87.636364,30.545455,24.82
21,614,153.222,40,0,N,N,N,N,648.727,1.36364,1.18182,533.27273,138.90909,55.181818,4.909
29,0,140.089,14,0,N,NA,NA,NA,142.091,1.90909,2.63636,219.27273,110.27273,45.818182,7
29,4,138.405,14,0,N,N,NA,NA,281.273,0,0.454545,300.45455,94.909091,39.090909,7.182
29,6,184.556,57,0,N,N,N,N,256.636,3.27273,3.18182,338,124.72727,46.272727,11.27
29,17,137.612,14,0,N,N,N,NA,194.091,0,0,276.18182,84.727273,29.818182,8.364
29,24,149.482,14,0,N,N,N,N,507,0.272727,1,208,108.18182,48.181818,8.727
29,44,225.4,14,0,N,N,N,N,515.636,0.454545,2.27273,647.72727,283.45455,113.63636,46.09
29,59,138.798,14,0,N,N,N,NA,345.182,0.545455,2.72727,458,140.90909,59.818182,17.64
29,62,148.93,14,0,N,C,NA,NA,391.727,3,5.36364,272.54545,152.72727,56,10.36
29,71,142.78,14,0,N,N,N,NA,246,0,0.545455,307.45455,80.363636,28.636364,10.18
29,73,162.049,14,0,N,N,N,N,107,0,0,350.54545,119.18182,39.727273,14.91
29,115,145.165,14,0,N,N,N,NA,346.727,2.90909,6,224.45455,83.272727,37.909091,4
29,158,151.327,14,0,N,C,NA,NA,307.091,4.09091,5.27273,266.81818,156.27273,60.181818,6.636
29,170,167.586,64,0,N,N,N,N,263,0.818182,0.636364,252.72727,125.27273,56.727273,10.73
29,172,172.977,14,0,N,NA,NA,NA,233.364,0,1.27273,357.45455,118.90909,42.909091,15.55
